step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.6818623542785645,5.4953586292266845,243.55885782472407,0.0002992548381355933,28.845280408859253
1000,8192000,5.086284637451172,5.002937860488892,148.84981736519686,0.00029056716136821543,57.312665700912476
1500,12288000,4.88891077041626,4.770535607337951,117.98241728902488,0.00027271935907359057,85.56544518470764
2000,16384000,4.568367958068848,4.62266173362732,101.76454206081776,0.0002470134285862354,113.84828114509583
2500,20480000,4.827173233032227,4.513320908546448,91.22426347275191,0.0002153246177615057,142.2059440612793
3000,24576000,4.207910537719727,4.434513177871704,84.31107040125342,0.00017996462562803927,170.58341193199158
3500,28672000,4.4944868087768555,4.375341215133667,79.46695025276026,0.00014351296392326577,198.97295475006104
4000,32768000,4.177860736846924,4.330381474494934,75.9732629040644,0.00010862878168945194,227.38780546188354
4500,36864000,4.4582366943359375,4.294025459289551,73.26078402823784,7.785688032765895e-05,255.82352542877197
5000,40960000,4.195350646972656,4.267508411407471,71.34365494717298,5.3442070313131376e-05,284.23015213012695
5500,45056000,4.375729084014893,4.251870551109314,70.23667082809851,3.716541225136576e-05,312.6159269809723
6000,49152000,4.307019233703613,4.237811717987061,69.25613394632994,3.0214288491260102e-05,341.00476121902466
6103,49995776,4.1187214851379395,4.236636719703674,69.17480589734494,3.000001981741871e-05,348.7384343147278
