step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.968903064727783,6.227026634216308,506.24798300052004,0.0002992548381355933,42.194472312927246
1000,8192000,4.948489189147949,5.527187232971191,251.43568544778162,0.00029056716136821543,84.75049328804016
1500,12288000,4.878493309020996,5.240392684936523,188.74420486135983,0.00027271935907359057,127.95043897628784
2000,16384000,4.764407634735107,5.070645303726196,159.2770762784163,0.0002470134285862354,170.90005111694336
2500,20480000,4.78684139251709,4.954535579681396,141.81672850639634,0.0002153246177615057,214.1767303943634
3000,24576000,4.677863121032715,4.871500720977783,130.51663905573125,0.00017996462562803927,257.3400356769562
3500,28672000,4.524121284484863,4.809287214279175,122.64416734312537,0.00014351296392326577,300.5549228191376
4000,32768000,4.678556442260742,4.767021188735962,117.56850544276612,0.00010862878168945194,343.81143712997437
4500,36864000,4.223506450653076,4.722887573242187,112.49261479715867,7.785688032765895e-05,387.0503795146942
5000,40960000,4.387363433837891,4.696132154464721,109.52273513017823,5.3442070313131376e-05,430.2770290374756
5500,45056000,4.66029167175293,4.676998090744019,107.44704169030818,3.716541225136576e-05,473.5503122806549
6000,49152000,4.531607627868652,4.66770254611969,106.45289066559998,3.0214288491260102e-05,516.7881989479065
6103,49995776,4.507643699645996,4.664919953346253,106.15708736225218,3.000001981741871e-05,527.8376564979553
