step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.487129211425781,5.301936931610108,200.72522471966383,0.0002992548381355933,44.01801061630249
1000,8192000,4.792844772338867,4.813468608856201,123.15806465432213,0.00029056716136821543,89.89426231384277
1500,12288000,4.643942832946777,4.559097757339478,95.4972792296995,0.00027271935907359057,136.7551715373993
2000,16384000,4.539524078369141,4.407740507125855,82.08378608505193,0.0002470134285862354,182.87419843673706
2500,20480000,3.9456210136413574,4.299188051223755,73.6399775294112,0.0002153246177615057,229.04486322402954
3000,24576000,3.925191879272461,4.224770603179931,68.35882045376512,0.00017996462562803927,275.1183490753174
3500,28672000,4.024966716766357,4.167850747108459,64.57651159746405,0.00014351296392326577,321.56242537498474
4000,32768000,4.170135021209717,4.113694815635681,61.17232097948995,0.00010862878168945194,367.71340227127075
4500,36864000,4.0441107749938965,4.083426232337952,59.348463524491784,7.785688032765895e-05,413.84399485588074
5000,40960000,4.045764923095703,4.059204568862915,57.928214842397445,5.3442070313131376e-05,460.0079219341278
5500,45056000,4.005405902862549,4.040209212303162,56.83823281925282,3.716541225136576e-05,506.1644320487976
6000,49152000,3.994968891143799,4.03033679485321,56.27986282369036,3.0214288491260102e-05,552.2697224617004
6103,49995776,3.9813289642333984,4.027418932914734,56.115885302279615,3.000001981741871e-05,564.1676955223083
