step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,6.02681827545166,6.165645685195923,476.10845989389526,0.0002992548381355933,44.227423667907715
1000,8192000,5.333184242248535,5.465491132736206,236.39192641695627,0.00029056716136821543,87.37019872665405
1500,12288000,4.944460868835449,5.205557460784912,182.28245977386547,0.00027271935907359057,130.61374759674072
2000,16384000,4.896751403808594,5.043948392868042,155.08112899663848,0.0002470134285862354,173.8381531238556
2500,20480000,5.053142070770264,4.9314298248291015,138.57751232145557,0.0002153246177615057,217.0501651763916
3000,24576000,4.594388961791992,4.8534912014007565,128.1871366617831,0.00017996462562803927,260.2498173713684
3500,28672000,4.868098735809326,4.793816766738892,120.76140829928632,0.00014351296392326577,303.47404503822327
4000,32768000,4.275894641876221,4.744322872161865,114.92995687611113,0.00010862878168945194,346.70887994766235
4500,36864000,4.337131500244141,4.709285259246826,110.97281476026892,7.785688032765895e-05,389.8801062107086
5000,40960000,4.34242057800293,4.684547595977783,108.26128338757206,5.3442070313131376e-05,433.04211020469666
5500,45056000,4.275134086608887,4.665004892349243,106.1661046223662,3.716541225136576e-05,476.2343261241913
6000,49152000,4.147371292114258,4.6546306848526005,105.0704087390569,3.0214288491260102e-05,519.4433603286743
6103,49995776,4.377492904663086,4.6573867511749265,105.36038917315472,3.000001981741871e-05,530.5002527236938
