step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.43645715713501,5.495875310897827,243.68473273823662,0.0002992548381355933,28.716503143310547
1000,8192000,5.3705363273620605,5.048794484138488,155.83449025642716,0.00029056716136821543,57.0787718296051
1500,12288000,4.720375061035156,4.797900185585022,121.2555358881725,0.00027271935907359057,85.3205156326294
2000,16384000,4.750571250915527,4.644486861228943,104.00998053597618,0.0002470134285862354,113.57055306434631
2500,20480000,4.6040239334106445,4.521623640060425,91.98482704837227,0.0002153246177615057,141.8751814365387
3000,24576000,4.507324695587158,4.429036378860474,83.8505777780674,0.00017996462562803927,170.2100031375885
3500,28672000,4.672804832458496,4.3702440309524535,79.06292314605277,0.00014351296392326577,198.54720091819763
4000,32768000,4.7044453620910645,4.3097568607330325,74.42239173459163,0.00010862878168945194,226.88829159736633
4500,36864000,4.536947727203369,4.273526110649109,71.77427397385021,7.785688032765895e-05,255.27241325378418
5000,40960000,4.421783924102783,4.236399264335632,69.15838191840949,5.3442070313131376e-05,283.6611611843109
5500,45056000,4.376006126403809,4.217957277297973,67.894652592169,3.716541225136576e-05,312.0666308403015
6000,49152000,4.351818084716797,4.204852178096771,67.01069128621013,3.0214288491260102e-05,340.46644949913025
6103,49995776,4.4357075691223145,4.203779110908508,66.93882287883922,3.000001981741871e-05,348.19697546958923
