step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.983199596405029,6.179622526168823,482.8096739341795,0.0002992548381355933,28.76750659942627
1000,8192000,5.818903923034668,5.645313711166382,282.96231073695554,0.00029056716136821543,57.17102932929993
1500,12288000,5.155488014221191,5.385916013717651,218.3099874887735,0.00027271935907359057,85.43950486183167
2000,16384000,5.028880596160889,5.225959348678589,186.0395617503099,0.0002470134285862354,113.7487382888794
2500,20480000,5.02371883392334,5.10733920097351,165.23012529570974,0.0002153246177615057,142.13555455207825
3000,24576000,4.842304229736328,5.026320381164551,152.37131155834723,0.00017996462562803927,170.5163779258728
3500,28672000,4.695269584655762,4.955634927749633,141.97272018178654,0.00014351296392326577,198.8825604915619
4000,32768000,4.72871732711792,4.897946825027466,134.0143421277283,0.00010862878168945194,227.2318286895752
4500,36864000,4.800897121429443,4.868147087097168,130.07966716442644,7.785688032765895e-05,255.62164759635925
5000,40960000,4.943832874298096,4.841093502044678,126.60772186504549,5.3442070313131376e-05,284.00007462501526
5500,45056000,4.824531555175781,4.820635251998901,124.04386486958566,3.716541225136576e-05,312.38723397254944
6000,49152000,4.768327713012695,4.807068719863891,122.37238352971387,3.0214288491260102e-05,340.73685693740845
6103,49995776,4.394392490386963,4.8051644229888915,122.13957192373344,3.000001981741871e-05,348.44734239578247
