step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.4488630294799805,5.426834092140198,227.4280880958798,0.0002992548381355933,32.35423254966736
1000,8192000,5.003284454345703,5.019374084472656,151.31656276102763,0.00029056716136821543,64.67149949073792
1500,12288000,4.701693534851074,4.767495880126953,117.62432744821601,0.00027271935907359057,95.95577478408813
2000,16384000,4.7709550857543945,4.60139404296875,99.62309776430106,0.0002470134285862354,127.47188401222229
2500,20480000,4.315970420837402,4.490592951774597,89.17430626842926,0.0002153246177615057,159.33840608596802
3000,24576000,4.226113319396973,4.406299777030945,81.96561065402648,0.00017996462562803927,191.32089161872864
3500,28672000,4.746806621551514,4.33509861946106,76.33248638725159,0.00014351296392326577,223.25077104568481
4000,32768000,4.661502838134766,4.281938176155091,72.38059047985958,0.00010862878168945194,255.24282431602478
4500,36864000,4.705538272857666,4.241613445281982,69.51992799990055,7.785688032765895e-05,287.5634648799896
5000,40960000,4.349961280822754,4.213855366706849,67.61672520396185,5.3442070313131376e-05,319.8219714164734
5500,45056000,3.8015761375427246,4.193796696662903,66.27393592947199,3.716541225136576e-05,352.33442306518555
6000,49152000,4.420821189880371,4.1836655855178835,65.60589702068665,3.0214288491260102e-05,384.68978810310364
6103,49995776,3.9690256118774414,4.17908215045929,65.30588472089626,3.000001981741871e-05,393.5159718990326
