step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.396517276763916,5.427294816970825,227.532894004736,0.0002992548381355933,32.135366916656494
1000,8192000,5.005019187927246,5.047193384170532,155.58518329501368,0.00029056716136821543,64.33666944503784
1500,12288000,4.780254364013672,4.789548721313476,120.24709146757006,0.00027271935907359057,95.87556958198547
2000,16384000,4.728793144226074,4.624128341674805,101.9139002553461,0.0002470134285862354,127.23719143867493
2500,20480000,4.6555891036987305,4.4962087774276736,89.67650242837223,0.0002153246177615057,158.94727563858032
3000,24576000,4.4595794677734375,4.407544908523559,82.06773218133432,0.00017996462562803927,190.75260758399963
3500,28672000,4.584792137145996,4.339555349349975,76.67343886302814,0.00014351296392326577,222.76984214782715
4000,32768000,4.5306901931762695,4.284443521499634,72.56215620270252,0.00010862878168945194,254.8372266292572
4500,36864000,4.490155220031738,4.243110599517823,69.62408800692282,7.785688032765895e-05,287.0320813655853
5000,40960000,4.1256513595581055,4.212080011367798,67.4967879869535,5.3442070313131376e-05,319.1768584251404
5500,45056000,4.269789695739746,4.188721609115601,65.93844195327196,3.716541225136576e-05,351.29319882392883
6000,49152000,4.20168399810791,4.175774307250976,65.09021998287596,3.0214288491260102e-05,383.3360552787781
6103,49995776,4.014067649841309,4.1731872510910035,64.92204556045033,3.000001981741871e-05,392.14539766311646
