step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.582040786743164,5.295362777709961,199.4099543327943,0.0002992548381355933,44.185932636260986
1000,8192000,4.479401588439941,4.740531902313233,114.49508568748203,0.00029056716136821543,87.37245655059814
1500,12288000,4.576932907104492,4.517797846794128,91.63358443567947,0.00027271935907359057,130.55175471305847
2000,16384000,4.428381443023682,4.361137533187867,78.34620516153372,0.0002470134285862354,173.60479640960693
2500,20480000,4.276540279388428,4.276758432388306,72.00664686959477,0.0002153246177615057,216.777357339859
3000,24576000,4.464664459228516,4.205996398925781,67.08741019826448,0.00017996462562803927,259.8747761249542
3500,28672000,4.04553747177124,4.150608406066895,63.47260567143294,0.00014351296392326577,303.0517747402191
4000,32768000,4.353346824645996,4.111232829093933,61.02190079073058,0.00010862878168945194,346.20203733444214
4500,36864000,4.109910011291504,4.0801596403121945,59.15491260485611,7.785688032765895e-05,389.5036554336548
5000,40960000,3.750393867492676,4.053161334991455,57.57919675351429,5.3442070313131376e-05,432.7476661205292
5500,45056000,4.245398998260498,4.034940280914307,56.53954364764837,3.716541225136576e-05,475.98816680908203
6000,49152000,4.155479431152344,4.02843514919281,56.17294016351179,3.0214288491260102e-05,519.2432606220245
6103,49995776,3.855194568634033,4.027134399414063,56.099920724327646,3.000001981741871e-05,530.2484352588654
