step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.263526439666748,5.201013259887695,181.45601085374022,0.0002992548381355933,44.96864867210388
1000,8192000,4.630260467529297,4.725970344543457,112.83993888696276,0.00029056716136821543,88.88703608512878
1500,12288000,4.266155242919922,4.491418652534485,89.24796796795307,0.00027271935907359057,132.86100459098816
2000,16384000,4.412421226501465,4.351189789772033,77.57070086900222,0.0002470134285862354,176.87151741981506
2500,20480000,4.070295333862305,4.251380405426025,70.2022530626322,0.0002153246177615057,220.90118741989136
3000,24576000,4.142913341522217,4.176332898139954,65.12658894345928,0.00017996462562803927,264.96127128601074
3500,28672000,3.8968100547790527,4.117455048561096,61.402776166010646,0.00014351296392326577,308.994677066803
4000,32768000,4.271397590637207,4.078040266036988,59.0296739654829,0.00010862878168945194,353.07849311828613
4500,36864000,4.197671890258789,4.0525702857971195,57.54517467101529,7.785688032765895e-05,397.186341047287
5000,40960000,3.8765130043029785,4.028905167579651,56.19934868399045,5.3442070313131376e-05,441.3233904838562
5500,45056000,4.040431976318359,4.013361525535584,55.33256010227828,3.716541225136576e-05,485.358181476593
6000,49152000,4.1480302810668945,4.0047689723968505,54.859148957243576,3.0214288491260102e-05,529.4095315933228
6103,49995776,4.102608680725098,4.00016004562378,54.606888927415746,3.000001981741871e-05,540.7020781040192
