step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.435749053955078,5.38111138343811,217.2636044672659,0.0002992548381355933,44.248082876205444
1000,8192000,5.142114162445068,4.877340288162231,131.2810294204544,0.00029056716136821543,87.40629243850708
1500,12288000,4.683688163757324,4.5651264667510985,96.07474350893321,0.00027271935907359057,130.68199110031128
2000,16384000,4.492524147033691,4.41650279045105,82.80618779735568,0.0002470134285862354,173.91720342636108
2500,20480000,4.249237537384033,4.270914597511291,71.58707905179845,0.0002153246177615057,217.16446137428284
3000,24576000,4.52681827545166,4.193772501945496,66.27233246971842,0.00017996462562803927,260.440443277359
3500,28672000,4.47049617767334,4.137362339496613,62.63738720316614,0.00014351296392326577,303.66642689704895
4000,32768000,4.302230358123779,4.094659337997436,60.01888951934571,0.00010862878168945194,346.9101583957672
4500,36864000,4.322668552398682,4.059974336624146,57.97282328151522,7.785688032765895e-05,390.1747272014618
5000,40960000,4.416055679321289,4.037434387207031,56.68073527952553,5.3442070313131376e-05,433.41314697265625
5500,45056000,4.117498397827148,4.021065645217895,55.76049508216921,3.716541225136576e-05,476.6737263202667
6000,49152000,4.249917030334473,4.010972220897674,55.200511574697806,3.0214288491260102e-05,519.8916013240814
6103,49995776,4.252768039703369,4.008652633428573,55.0726175477966,3.000001981741871e-05,530.9285311698914
