step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.602524280548096,5.346588010787964,209.89092914949748,0.0002992548381355933,44.214287757873535
1000,8192000,4.762070655822754,4.738448319435119,114.2567740445604,0.00029056716136821543,87.37782835960388
1500,12288000,4.463780403137207,4.493249192237854,89.41148953746439,0.00027271935907359057,130.6207721233368
2000,16384000,4.5572099685668945,4.337170050144196,76.49076771948184,0.0002470134285862354,173.89099884033203
2500,20480000,4.31980037689209,4.244174847602844,69.69822475220272,0.0002153246177615057,217.1367645263672
3000,24576000,4.483721733093262,4.175751152038575,65.08871282245636,0.00017996462562803927,260.4014799594879
3500,28672000,4.343684673309326,4.1183260059356686,61.45627866254652,0.00014351296392326577,303.6487989425659
4000,32768000,4.270812034606934,4.073712310791016,58.774748229885205,0.00010862878168945194,346.8814618587494
4500,36864000,4.367089748382568,4.044704778194427,57.09432805522945,7.785688032765895e-05,390.1338834762573
5000,40960000,4.295494556427002,4.023058023452759,55.871701825096295,5.3442070313131376e-05,433.42162823677063
5500,45056000,4.234867095947266,4.009703052043915,55.13049724409768,3.716541225136576e-05,476.6535301208496
6000,49152000,4.187271595001221,4.000044553279877,54.600582613992756,3.0214288491260102e-05,519.884824514389
6103,49995776,4.223725318908691,3.999016547203064,54.54448172423643,3.000001981741871e-05,530.9128251075745
