step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.39980936050415,5.2085432434082035,182.8275288988137,0.0002992548381355933,45.31115007400513
1000,8192000,4.721175193786621,4.74466498374939,114.96928247259974,0.00029056716136821543,89.20031595230103
1500,12288000,4.59033727645874,4.505726165771485,90.5340629222306,0.00027271935907359057,133.27462720870972
2000,16384000,4.488883972167969,4.366130046844482,78.73832768479579,0.0002470134285862354,177.3814172744751
2500,20480000,3.911709785461426,4.261089296340942,70.88715853579133,0.0002153246177615057,221.4594442844391
3000,24576000,3.889394760131836,4.194709644317627,66.33446819103692,0.00017996462562803927,265.54859137535095
3500,28672000,3.99263334274292,4.138946623802185,62.73670128275013,0.00014351296392326577,309.6093518733978
4000,32768000,4.137228965759277,4.091857414245606,59.85095654480502,0.00010862878168945194,353.6950249671936
4500,36864000,4.009058475494385,4.061892890930176,58.08415405417202,7.785688032765895e-05,397.812260389328
5000,40960000,4.0190839767456055,4.038618688583374,56.74790211736793,5.3442070313131376e-05,441.9536657333374
5500,45056000,3.988156318664551,4.026924347877502,56.08813808730238,3.716541225136576e-05,486.0714964866638
6000,49152000,3.9660263061523438,4.012762250900269,55.2994106363111,3.0214288491260102e-05,530.1431667804718
6103,49995776,3.9670417308807373,4.0113586950302125,55.22184926749188,3.000001981741871e-05,541.4489591121674
