step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.221586227416992,5.276351337432861,195.6546934604054,0.0002992548381355933,44.3170120716095
1000,8192000,4.938859462738037,4.726848335266113,112.93905481151458,0.00029056716136821543,87.45263075828552
1500,12288000,4.582399845123291,4.501788339614868,90.17825653281926,0.00027271935907359057,130.5627405643463
2000,16384000,4.701418876647949,4.36744158744812,78.84166394865714,0.0002470134285862354,173.70156288146973
2500,20480000,4.1621246337890625,4.268731083869934,71.43093821800066,0.0002153246177615057,216.96929335594177
3000,24576000,4.19144344329834,4.198205552101135,66.56677319654885,0.00017996462562803927,260.21141290664673
3500,28672000,3.977633237838745,4.1384780216217045,62.70730961477059,0.00014351296392326577,303.4127414226532
4000,32768000,4.214152812957764,4.097896776199341,60.21351183398326,0.00010862878168945194,346.57415890693665
4500,36864000,3.8616280555725098,4.066305871009827,58.341044678661746,7.785688032765895e-05,389.7533576488495
5000,40960000,4.094925880432129,4.04741096496582,57.249045222888384,5.3442070313131376e-05,432.97120785713196
5500,45056000,4.3262224197387695,4.031556601524353,56.348555263044155,3.716541225136576e-05,476.184686422348
6000,49152000,4.030851364135742,4.020634617805481,55.736465959236355,3.0214288491260102e-05,519.3137984275818
6103,49995776,4.273229598999023,4.018712100982666,55.62941460277475,3.000001981741871e-05,530.3136491775513
