step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,1.1336342096328735,1.7328135332270482,5.656546422196017,0.0002992548381355933,43.57677102088928
1000,8192000,0.8126627206802368,1.493447404410971,4.452418378539054,0.00029056716136821543,87.13895225524902
1500,12288000,0.8621509075164795,1.3403676694362008,3.820447909101124,0.00027271935907359057,130.36717295646667
2000,16384000,1.0840338468551636,1.2958211994650375,3.6539954014775926,0.0002470134285862354,173.35347032546997
2500,20480000,0.6553351879119873,1.2570934295654297,3.515189478731161,0.0002153246177615057,216.31015729904175
3000,24576000,0.6993614435195923,1.2266478035318193,3.409780103816486,0.00017996462562803927,259.1667995452881
3500,28672000,0.8426090478897095,1.2092414429439373,3.350941807671828,0.00014351296392326577,302.20457792282104
4000,32768000,1.2859922647476196,1.2019752952920733,3.326681615532043,0.00010862878168945194,345.57765007019043
4500,36864000,0.5265748500823975,1.199865508918187,3.3196704266454073,7.785688032765895e-05,388.8044877052307
5000,40960000,0.6257096529006958,1.1977682401187455,3.312715481179537,5.3442070313131376e-05,432.0533266067505
5500,45056000,0.8721093535423279,1.2003375130083094,3.3212376945139668,3.716541225136576e-05,475.34649872779846
6000,49152000,0.7226768732070923,1.1963791703459006,3.3081170827261324,3.0214288491260102e-05,518.5951154232025
6103,49995776,0.7152426242828369,1.195777811596741,3.306128315616375,3.000001981741871e-05,528.7419080734253
