step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.2018890380859375,5.1949235486984255,180.3543539448249,0.0002992548381355933,45.18140697479248
1000,8192000,4.632818222045898,4.7301936531066895,113.31750451079817,0.00029056716136821543,90.50877070426941
1500,12288000,4.004620552062988,4.498657703399658,89.89638266957301,0.00027271935907359057,135.91226387023926
2000,16384000,4.412369251251221,4.349238595962524,77.41949296360453,0.0002470134285862354,181.34308981895447
2500,20480000,4.120785713195801,4.24965838432312,70.08146732902568,0.0002153246177615057,226.77646708488464
3000,24576000,3.9909586906433105,4.176865091323853,65.16125809471029,0.00017996462562803927,272.1594007015228
3500,28672000,4.194844722747803,4.117985601425171,61.43536222831764,0.00014351296392326577,317.48477125167847
4000,32768000,3.9891951084136963,4.083580565452576,59.35762366455396,0.00010862878168945194,362.82392835617065
4500,36864000,4.094564914703369,4.0511643600463865,57.46432727415054,7.785688032765895e-05,408.1984190940857
5000,40960000,3.9535021781921387,4.0247187376022335,55.96456583982107,5.3442070313131376e-05,453.56387305259705
5500,45056000,3.7029895782470703,4.0143070840835575,55.38490502115696,3.716541225136576e-05,498.97844648361206
6000,49152000,3.9426040649414062,4.003107981681824,54.768104053493126,3.0214288491260102e-05,544.3304378986359
6103,49995776,4.091915130615234,4.001417098045349,54.6755758118387,3.000001981741871e-05,555.9835159778595
