step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.392930030822754,5.207516174316407,182.63984879146903,0.0002992548381355933,44.563241720199585
1000,8192000,4.720019817352295,4.742079095840454,114.6723688532745,0.00029056716136821543,89.13694381713867
1500,12288000,4.5891265869140625,4.5035277843475345,90.33525313001337,0.00027271935907359057,133.7748076915741
2000,16384000,4.492231369018555,4.35718156337738,78.03688217874013,0.0002470134285862354,178.49861574172974
2500,20480000,3.9005284309387207,4.255624709129333,70.5008459565087,0.0002153246177615057,223.3612926006317
3000,24576000,3.8814375400543213,4.1873544359207155,65.8483542796796,0.00017996462562803927,268.1978614330292
3500,28672000,3.997960090637207,4.1352198123931885,62.50332856680875,0.00014351296392326577,313.0054008960724
4000,32768000,4.135690689086914,4.090313105583191,59.75859952638597,0.00010862878168945194,357.70245885849
4500,36864000,4.000999927520752,4.0593750238418576,57.93808983663563,7.785688032765895e-05,402.40166783332825
5000,40960000,4.013758659362793,4.0356249475479125,56.578267641663814,5.3442070313131376e-05,447.1039044857025
5500,45056000,3.9902963638305664,4.020718941688537,55.74116607263701,3.716541225136576e-05,491.8532462120056
6000,49152000,3.969252824783325,4.007915301322937,55.0320257054105,3.0214288491260102e-05,536.7072203159332
6103,49995776,3.965301990509033,4.008406381607056,55.05905748507333,3.000001981741871e-05,548.2843635082245
